No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
40,DLTR,17.87%,31.20%,30.19%,21.41%,40.24%,21.78%,3.57%,3.21%,2.60,4.53M,0.81,131.57,-0.77%,"3,664,985"
41,DXCM,4.97%,18.40%,28.82%,89.15%,94.78%,76.15%,2.73%,3.28%,1.60,510.02K,1.84,651.26,0.50%,"936,931"
42,EA,-0.82%,1.02%,-1.75%,-2.59%,16.55%,-3.80%,3.41%,2.54%,2.10,2.73M,0.82,138.14,-1.02%,"2,233,542"
43,EBAY,0.20%,-1.79%,0.76%,23.39%,51.83%,46.03%,2.95%,3.16%,2.50,6.12M,1.03,73.38,-3.31%,"6,324,148"
44,ENPH,10.10%,36.25%,56.46%,79.71%,103.69%,45.24%,4.95%,5.00%,2.10,2.15M,0.82,254.86,1.30%,"1,766,602"
45,EQIX,2.12%,2.35%,-4.31%,9.60%,6.23%,11.74%,1.67%,2.22%,1.70,505.06K,1.17,798.00,0.36%,"593,279"
46,ETSY,13.57%,24.69%,46.83%,63.80%,119.16%,58.69%,5.06%,5.30%,1.90,2.12M,0.70,282.32,-1.54%,"1,490,294"
47,EXC,-1.60%,6.48%,9.82%,17.14%,24.40%,26.91%,1.38%,1.60%,2.10,5.00M,1.33,53.58,-1.24%,"6,633,353"
48,EXPD,1.99%,7.82%,4.82%,5.37%,42.40%,34.60%,1.72%,2.70%,3.10,933.04K,0.81,128.02,-1.86%,"760,211"
49,EXPE,-4.35%,6.85%,28.64%,5.00%,44.35%,34.13%,2.38%,3.03%,2.40,2.29M,0.91,177.59,1.20%,"2,076,979"
50,FANG,0.07%,-3.34%,57.98%,40.13%,187.43%,121.57%,3.44%,3.66%,1.80,2.56M,0.90,107.24,-2.67%,"2,313,400"
51,FAST,4.03%,8.83%,11.21%,16.99%,29.53%,25.39%,1.39%,1.50%,2.90,2.70M,0.90,61.23,-0.20%,"2,442,607"
52,FB,4.01%,0.23%,-4.04%,6.96%,23.92%,24.75%,2.44%,2.64%,1.90,20.20M,0.67,340.77,-0.64%,"13,539,789"
53,FFIV,5.01%,16.86%,19.60%,27.93%,46.06%,34.56%,1.94%,2.68%,2.30,401.13K,1.07,236.75,0.76%,"428,112"
54,FISV,0.63%,-9.35%,-13.22%,-11.99%,-8.25%,-11.40%,1.78%,2.95%,1.80,4.28M,1.87,100.88,-1.20%,"8,001,491"
